year,status,flag,wrestler,name,team,weight_class,seed,placement,ncaa_wins,ncaa_losses,individual_id,cand_last_year,cand_last_team,cand_last_weight,cand_teams
2026,new,,Carter Baer (Binghamton),Carter Baer,Binghamton,174,13,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Carter Nogle (Air Force),Carter Nogle,Air Force,141,18,Fifth,6,2,NA,NA,NA,NA,NA
2026,new,,Carter Schmidt (Oklahoma),Carter Schmidt,Oklahoma,133,33,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Carter Schubert (Oklahoma),Carter Schubert,Oklahoma,174,12,NA,3,2,NA,NA,NA,NA,NA
2026,new,,Ceasar Garza (Cal Poly),Ceasar Garza,Cal Poly,184,23,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Charlie Millard (Minnesota),Charlie Millard,Minnesota,157,21,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Chase Kranitz (Pittsburgh),Chase Kranitz,Pittsburgh,184,26,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Chris Earnest (Kent State),Chris Earnest,Kent State,165,23,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Christian Carroll (Wyoming),Christian Carroll,Wyoming,285,18,Eighth,4,3,NA,NA,NA,NA,NA
2026,new,,Clayton Jones (Michigan State),Clayton Jones,Michigan State,149,32,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Cody Merrill (Oklahoma State),Cody Merrill,Oklahoma State,197,7,Second,4,1,NA,NA,NA,NA,NA
2026,new,,Cody Walsh (Drexel),Cody Walsh,Drexel,165,32,NA,3,2,NA,NA,NA,NA,NA
2026,new,,Cole Mirasola (Penn State),Cole Mirasola,Penn State,285,9,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Colin Kelly (Illinois),Colin Kelly,Illinois,174,18,NA,3,2,NA,NA,NA,NA,NA
2026,new,,Collin Carrigan (North Carolina),Collin Carrigan,North Carolina,174,27,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Collin Gaj (Virginia Tech),Collin Gaj,Virginia Tech,149,4,Fifth,6,2,NA,NA,NA,NA,NA
2026,new,,Connor Euton (Iowa State),Connor Euton,Iowa State,165,15,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Conrad Hendriksen (Oklahoma),Conrad Hendriksen,Oklahoma,125,21,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Dario Lemus (Maryland),Dario Lemus,Maryland,141,30,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Daschle Lamer (Oregon State),Daschle Lamer,Oregon State,174,20,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Davis Motyka (Penn),Davis Motyka,Penn,125,22,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Derek Raike (Ohio),Derek Raike,Ohio,157,13,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Desmond Pleasant (Drexel),Desmond Pleasant,Drexel,125,31,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Devin Wasley (North Dakota State),Devin Wasley,North Dakota State,197,22,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Devon Dawson (Northern Illinois),Devon Dawson,Northern Illinois,285,11,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Dylan Layton (Rider),Dylan Layton,Rider,149,30,NA,1,2,NA,NA,NA,NA,NA
2026,new,,EJ Parco (Stanford),EJ Parco,Stanford,165,27,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Emmanuel Ulrich (American),Emmanuel Ulrich,American,285,32,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Eugene Harney (Morgan State),Eugene Harney,Morgan State,149,18,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Evan Mougalian (Penn),Evan Mougalian,Penn,133,12,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Ezekiel Witt (North Dakota State),Ezekiel Witt,North Dakota State,125,16,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Gabe Whisenhunt (Oregon State),Gabe Whisenhunt,Oregon State,133,30,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Gable Porter (Virginia),Gable Porter,Virginia,141,27,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Gage Walker (Missouri),Gage Walker,Missouri,133,19,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Garrett Grice (Iowa State),Garrett Grice,Iowa State,133,28,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Garrett McChesney (Edinboro),Garrett McChesney,Edinboro,157,31,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Grant O`Dell (Bellarmine),Grant O`Dell,Bellarmine,174,33,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Gunner Andrick (West Virginia),Gunner Andrick,West Virginia,133,18,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Holden Garcia (Princeton),Holden Garcia,Princeton,174,28,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Jace Schafer (Bloomsburg),Jace Schafer,Bloomsburg,125,33,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Jack Consiglio (Stanford),Jack Consiglio,Stanford,141,10,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Jack Forbes (Utah Valley),Jack Forbes,Utah Valley,285,30,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Jaivon Jones (Little Rock),Jaivon Jones,Little Rock,157,24,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Jake Dailey (North Carolina),Jake Dailey,North Carolina,184,18,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Jarrett Stoner (Missouri),Jarrett Stoner,Missouri,285,28,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Jax Forrest (Oklahoma State),Jax Forrest,Oklahoma State,133,1,First,5,0,NA,NA,NA,NA,NA
2026,new,,Jaxon Joy (Cornell),Jaxon Joy,Cornell,149,2,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Jeb Prechtel (Bellarmine),Jeb Prechtel,Bellarmine,157,32,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Joe Curtis (Columbia),Joe Curtis,Columbia,184,24,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Jonathan Ley (Navy),Jonathan Ley,Navy,157,26,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Kade Brown (Pittsburgh),Kade Brown,Pittsburgh,149,28,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Kade Rule (Chattanooga),Kade Rule,Chattanooga,197,30,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Kael Bennie (Utah Valley),Kael Bennie,Utah Valley,197,31,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Kael Lauridsen (Nebraska),Kael Lauridsen,Nebraska,125,25,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Kael Wisler (Michigan State),Kael Wisler,Michigan State,197,28,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Kaleb Burgess (Buffalo),Kaleb Burgess,Buffalo,157,23,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Kaleb Larkin (Arizona State),Kaleb Larkin,Arizona State,157,4,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Karson Tompkins (Air Force),Karson Tompkins,Air Force,197,33,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Koy Hopke (Minnesota),Koy Hopke,Minnesota,285,14,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Kyler Larkin (Arizona State),Kyler Larkin,Arizona State,133,5,NA,2,2,NA,NA,NA,NA,NA
2026,new,,LJ Araujo (Nebraska),LJ Araujo,Nebraska,165,6,NA,1,2,NA,NA,NA,NA,NA
2026,new,,LaDarion Lockett (Oklahoma State),LaDarion Lockett,Oklahoma State,165,5,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Laird Root (North Carolina),Laird Root,North Carolina,157,30,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Landon Robideau (Oklahoma State),Landon Robideau,Oklahoma State,157,5,First,5,0,NA,NA,NA,NA,NA
2026,new,,Logan Messer (George Mason),Logan Messer,George Mason,174,19,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Lucas Kapusta (Lock Haven),Lucas Kapusta,Lock Haven,149,17,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Luke Condon (Wisconsin),Luke Condon,Wisconsin,174,32,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Luke Mechler (Wisconsin),Luke Mechler,Wisconsin,157,17,NA,1,2,NA,NA,NA,NA,NA
